UniqueId,Suffix,FileName,polarity,Interp layer,Topic(s),First few words
87,snow_ruins_plans_but_weekend_enjoyed,a087_snow_ruins_plans_but_weekend_enjoyed,POS,FALSE,snow,"Wow, we have a lot of snow! I'm reminding myself of The Hitchhiker's Guide... I state the obvious a lot."
88,friends_feelings_unrequited,a088_friends_feelings_unrequited,NEG,FALSE,romance,"Was up all night chatting with a mate, it was just freakin awsome.. "
89,feelings_for_another_end_relationship,a089_feelings_for_another_end_relationship,NEG,FALSE,romance,i've been going out with this guy for almost 2years and i really do love him. 
90,feelings_unreciprocated_after_breakup,a090_feelings_unreciprocated_after_breakup,NEG,FALSE,romance,"So about two weeks ago I left my current ex boyfriend, who was emotionally abusive..."
91,drunken_romancing_leads_to_regrets,a091_drunken_romancing_leads_to_regrets,NEG,FALSE,romance,So I'm posting in the Chi-town CL because I know that anyone I speak of in this rant will never find it.
92,philandering_friend,a092_philandering_friend,NEG,FALSE,romance,"I have a group of female friends, and one of the girls (we'll call her cassy) has been dating a guy for a couple months."
93,romantic_troubles,a093_romantic_troubles,NEG,FALSE,romance,OK. So last night I talked to Bob as always.
94,christmas_decorating,a094_christmas_decorating,POS,FALSE,christmas,I've really gotten into the Christmas spirit. 
95,camping_trip_too_intense,a095_camping_trip_too_intense,NEG,FALSE,camping,"Jake, John#, and I all decided to spend an entire weekend hiking and camping in the Three Ridges Wilderness."
96,perfect_weekend_camping_induces_permagrin,a096_perfect_weekend_camping_induces_permagrin,POS,FALSE,camping,"Jane# and I went camping Friday evening, and so many factors converged into a perfect storm of bliss"
97,introducing_friend_to_camping,a097_introducing_friend_to_camping,POS,FALSE,camping,So this past weekend I went camping at Green Ridge State Park out in Western Maryland.
98,camping_with_friend,a098_camping_with_friend,POS,FALSE,camping,My friend Jane#### and I went up to St Agnes/Skookumchuck Hotsprings for a camping trip.  
99,boyfriend_dragging_feet_on_moving_out,a099_boyfriend_dragging_feet_on_moving_out,NEG,FALSE,romance,"I've been with my boyfriend for 5 years, I'm 21 and he's 23. "
100,cheating_boyfriend_loses_trust,a100_cheating_boyfriend_loses_trust,NEG,FALSE,romance,"Hmm. I am very much in love with my boyfriend and I have been for the past year and 3 months we have been together, but he cheated on me a few weeks ago. "
101,english_graduation_expedited,a101_english_graduation_expedited,POS,FALSE,work,"######, #### and ####  by ~ ########  on  deviant  ART    And an update on my life:  I am now officially graduated with English."
102,red_becomes_scary_lady,a102_red_becomes_scary_lady,NEG,FALSE,embarrasment,"Yes, it seems I've become   THAT   woman.   "
103,silent_treatment_reconsidered,a103_silent_treatment_reconsidered,NEG,FALSE,romance,"I admit, I am a slient treatment girl whenever hubby pisses me off.  "
104,speeches_discussed_at_productive_meeting,a104_speeches_discussed_at_productive_meeting,POS,FALSE,work,"On Thursday, September 27 our group met at Urec to have our meeting."
105,grandfather_ill,a105_grandfather_ill,NEG,FALSE,"health, death, sickness","So last week, my 95 year old Grandfather fell and cracked his vertebrae.."
106,bad_day,a106_bad_day,NEG,FALSE,"health, embarrasment, stress","Ah, Friday. Today I made it to my class in UP. Woke up at 8am, stayed in bed for 40mins"
107,crabbing,a107_crabbing,POS,FALSE,"fishing, crabbing",On Friday we left at 5 a.m. to go to Chicago.
108,baby,a108_baby,POS,FALSE,"family, health, life",After waiting what seemed like forever to get into the room. 
